bodyId,type,instance
1036863032,WEDPN17_a,WEDPN17_a_R
1037293275,M_l2PNm16,M_l2PNm16_R
1037518512,M_vPNml67,M_vPNml67_R
1039237469,M_vPNml61,M_vPNml61_R
1040609241,WEDPN7B,WEDPN7B_R
1040609541,WEDPN8D,WEDPN8D_R
1067215615,WEDPN8B,WEDPN8B_R
1069223047,WEDPN1A_b,WEDPN1A_b_R
1069929827,M_vPNml57,M_vPNml57_R
1070613107,M_vPNml61,M_vPNml61_R
1080886521,WEDPN14,WEDPN14_R
1098928012,WEDPN10B,WEDPN10B_R
1099911913,M_vPNml64,M_vPNml64_R
1102334088,M_lv2PN9t49,M_lv2PN9t49_R
1131310385,WEDPN6A,WEDPN6A_R
1163367993,WEDPN7A,WEDPN7A_R
1163713145,WEDPN16_c,WEDPN16_c_R
1192019859,WEDPN17_a,WEDPN17_a_R
1193378968,WEDPN7B,WEDPN7B_R
1194070053,WEDPN16_c,WEDPN16_c_R
1223388206,WEDPN17_a,WEDPN17_a_R
1224069121,WEDPN17_c,WEDPN17_c_R
1224069760,WEDPN16_a,WEDPN16_a_R
1224073798,WEDPN17_b,WEDPN17_b_R
1225100939,VP2+VC5_l2PN,VP2+VC5_l2PN(lALT)_R
1286134810,WEDPN6B,WEDPN6B_R
1316245799,M_spPN4t9,M_spPN4t9_R
1318184105,WEDPN6C,WEDPN6C_R
1318870786,WEDPN6B,WEDPN6B_R
1322012611,M_vPNml64,M_vPNml64_R
1322353714,M_vPNml66,M_vPNml66_R
1322353824,M_vPNml75,M_vPNml75_R
1322353841,M_vPNml77,M_vPNml77_R
1386858837,WEDPN17_a,WEDPN17_a_R
1411784734,M_lvPNm25,M_lvPNm25_R
1415825344,M_vPNml63,M_vPNml63_R
1415829574,M_vPNml72,M_vPNml72_R
1418909155,WEDPN17_a,WEDPN17_a_R
1440645010,WEDPN1A_a,WEDPN1A_a_R
1441659409,WEDPN16_d,WEDPN16_d_R
1442819296,VC3m_lvPN,VC3m_lvPN_R
1447201088,DC4_vPN,DC4_vPN_R
1447205602,M_vPNml83,M_vPNml83_R
1447205712,M_vPNml77,M_vPNml77_R
1448578991,WEDPN16_d,WEDPN16_d_R
1448924003,WEDPN17_b,WEDPN17_b_R
1448924172,WEDPN16_d,WEDPN16_d_R
1501371238,WEDPN6B,WEDPN6B_R
1504889437,M_lvPNm38,M_lvPNm38_R
1508615283,WEDPN8D,WEDPN8D_R
1512686574,WEDPN16_b,WEDPN16_b_R
1536947502,D_adPN,D_adPN_R
1539309050,WEDPN8A,WEDPN8A_R
1539978151,M_vPNml76,M_vPNml76_R
1565802648,WEDPN8C,WEDPN8C_R
1570684665,M_vPNml54,M_vPNml54_R
1570685033,M_vPNml54,M_vPNml54_R
1570685132,M_vPNml76,M_vPNml76_R
1570685224,M_vPNml53,M_vPNml53_R
1570685257,M_vPNml72,M_vPNml72_R
1570685283,DM3_vPN,DM3_vPN_R
1571025824,M_vPNml86,M_vPNml86_R
1573741727,WEDPN5,WEDPN5_R
1574752002,WEDPN16_b,WEDPN16_b_R
1595477160,WEDPN6C,WEDPN6C_R
1603736585,WEDPN17_c,WEDPN17_c_R
1605786832,WEDPN18,WEDPN18_R
1607155570,WEDPN7C,WEDPN7C_R
1609542060,DL3_lPN,DL3_lPN_R
1609883245,DL3_lPN,DL3_lPN_R
1630048134,WEDPN9,WEDPN9_R
1630051981,VA4_lPN,VA4_lPN_R
1630734360,M_lPNm11A,M_lPNm11A_R
1639234609,VP1d_il2PN,VP1d_il2PN(dALT)
1639243580,VP1d_il2PN,VP1d_il2PN(dALT)
1640568102,DL3_lPN,DL3_lPN_R
1640594274,DC1_adPN,DC1_adPN_R
1661769627,M_l2PN3t18,M_l2PN3t18_R
1667170670,WEDPN17_c,WEDPN17_c_R
1667170776,WEDPN17_c,WEDPN17_c_R
1670597454,M_lvPNm35,M_lvPNm35_R
1670934213,DL4_adPN,DL4_adPN_R
1670969304,M_lvPNm28,M_lvPNm28_R
1670973150,M_lvPNm27,M_lvPNm27_R
1671608112,M_ilPNm90,M_ilPNm90_R
1671638278,M_l2PNl20,M_l2PNl20_R
1671952694,M_lvPNm24,M_lvPNm24_R
1672293837,M_lvPNm29,M_lvPNm29_R
1692817033,VA7l_adPN,VA7l_adPN_R
1693486219,M_lPNm13,M_lPNm13_R
1693827279,M_adPNm8,M_adPNm8_R
1694850602,M_vPNml89,M_vPNml89_R
1700307582,M_l2PNl21,M_l2PNl21_R
1700937093,DL1_adPN,DL1_adPN_R
1700946301,DL1_adPN,DL1_adPN_R
1701299822,M_imPNl92,M_imPNl92_R
1701325725,M_vPNml73,M_vPNml73_R
1702306047,M_ilPN8t91,M_ilPN8t91_R
1703683361,DA3_adPN,DA3_adPN_R
1723506321,M_l2PNm14,M_l2PNm14_R
1727979406,VP1d+VP4_l2PN1,VP1d+VP4_l2PN1_R
1730656082,M_lvPNm26,M_lvPNm26_R
1732313117,M_lvPNm40,M_lvPNm40_R
